Accession Number	Prosite Hits	Prosite Confidence	Prosite Codes	Pfam Hits	Pfam Codes	Pfam Clan Names	Pfam Clan Numbers	Pfam E-vals	Blast Hits	Blast E-vals	Prints Hits	Print Codes	Function	Comments	GO Codes
ABO11949	Big-1 (bacterial Ig-like domain 1) domain profile,Protein prenyltransferases alpha subunit repeat profile	2	PS51127,PS51147	OsmC-like protein	PF02566.18	noresult	noresult	1.9e-21	peroxiredoxin [Acinetobacter baumannii],peroxiredoxin [Acinetobacter baumannii],peroxiredoxin [Acinetobacter baumannii],redox protein, regulator of disulfide bond formation [Acinetobacter baumannii],peroxiredoxin [Acinetobacter baumannii],peroxiredoxin [Acinetobacter baumannii],peroxiredoxin [Acinetobacter baumannii],peroxiredoxin [Acinetobacter baumannii],peroxiredoxin [Acinetobacter baumannii],peroxiredoxin [Acinetobacter baumannii]	6e-96,1e-95,3e-95,4e-95,5e-95,6e-95,7e-95,1e-94,1e-94,2e-94	FAD-dependent pyridine nucleotide reductase signature,Ankyrin repeat signature,Fatty acid synthase signature,Paired box signature ,Bacterial superantigen superfamily signature,Glycosyl hydrolase family 11 signature	FADPNR,ANKYRIN,FASYNTHASE,PAIREDBOX,SAGSUPRFAMLY,GLHYDRLASE11	antioxidant enzyme	antioxidant enzyme peroxidoxin (blast)	GO:0016209
ABO13312	Histidine kinase domain profile	3	PS50109	His Kinase A ,Histidine kinase-	PF00512.24,PF02518.25	His Kinase A (phospho-acceptor) domain,His Kinase A (phospho-acceptor) domain	CL0025,CL0025	2e-06,1.5e-21	two-component sensor histidine kinase [Acinetobacter baumannii],two-component sensor histidine kinase [Acinetobacter baumannii],putative sensory transduction histidine kinase [Acinetobacter baumannii AYE],two-component sensor histidine kinase [Acinetobacter baumannii],two-component sensor histidine kinase [Acinetobacter baumannii],two-component sensor histidine kinase [Acinetobacter baumannii],MULTISPECIES: two-component sensor histidine kinase [Acinetobacter calcoaceticus/baumannii complex],two-component sensor histidine kinase [Acinetobacter baumannii],two-component sensor histidine kinase [Acinetobacter baumannii],two-component sensor histidine kinase [Acinetobacter baumannii]	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	Bacterial sensor protein C-terminal signature,Phytochrome signature,90kDa heat shock protein signature,Lantibiotic regulatory protein signature ,B-class P450 signature	BCTRLSENSOR,PHYTOCHROME,HEATSHOCK90,LANTIREGPROT,BP450	histidine kinase	histidine kinase (blast prosite pfam)	GO:0016301
ABO12296	Big-1 (bacterial Ig-like domain 1) domain profile	2	PS51127	outer membrane porin	PF03573.12	Outer membrane beta-barrel protein superfamily	CL0193	4.4e-42	outer membrane porin, OprD family protein, partial [Acinetobacter baumannii 25493_2],outer membrane porin, OprD family [Acinetobacter baumannii],outer membrane porin, OprD family [Acinetobacter dijkshoorniae],outer membrane porin, OprD family [Acinetobacter pittii],outer membrane porin, OprD family [Acinetobacter calcoaceticus],outer membrane porin, OprD family [Acinetobacter baumannii],outer membrane porin, OprD family [Acinetobacter lactucae],outer membrane porin, OprD family [Acinetobacter baumannii],outer membrane porin, OprD family [Acinetobacter pittii],outer membrane porin, OprD family [Acinetobacter pittii]	2e-150,2e-150,2e-150,2e-150,2e-150,2e-150,2e-150,3e-150,3e-150,3e-150	Helicobacter pylori outer membrane protein family signature,Thrombospondin type 1 repeat signature	HPOMPFAMILY,TSP1REPEAT	outer membrane protein	outer membrane family (prints), outermembrane porin/protein (blast/pfam)	GO:0019867
ABO12297	Pumilio RNA-binding repeat profile	2	PS50302	short chain dehydrogenase	PF00106.24	FAD/NAD(P)-binding Rossmann fold Superfamily	CL0063	3.1e-44	short-chain dehydrogenase [Acinetobacter baumannii],short chain dehydrogenase [Acinetobacter pittii],short-chain dehydrogenase [Acinetobacter baumannii],short-chain dehydrogenase [Acinetobacter baumannii],short-chain dehydrogenase [Acinetobacter baumannii],short-chain dehydrogenase [Acinetobacter baumannii],short-chain dehydrogenase [Acinetobacter baumannii],short chain dehydrogenase [Acinetobacter baumannii],short chain dehydrogenase [Acinetobacter baumannii],short-chain dehydrogenase, partial [Acinetobacter baumannii]	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	Glucose/ribitol dehydrogenase family signature,Epoxide hydrolase signature	GDHRDH,SDRFAMILY,EPOXHYDRLASE	dehydrogenase	hits from pfam,  blast (strong) , prints. Oxidizes glucose using nucleotide cofactors	GO:1990204
ABO12295	Protein kinase C phosphorylation site,Casein kinase II phosphorylation site,N-myristoylation site	1	PS00005,PS00006,PS00008	outer membrane porin	PF03573.12	Outer membrane beta-barrel protein superfamily	CL0193	1.4e-21	benzoate transporter, partial [Acinetobacter baumannii],benzoate transporter, partial [Acinetobacter baumannii],outer membrane porin, OprD family, partial [Acinetobacter baumannii],outer membrane porin, OprD family protein, partial [Acinetobacter baumannii 940793],outer membrane porin, OprD family, partial [Acinetobacter baumannii],outer membrane porin, OprD family [Acinetobacter baumannii 6014059],outer membrane porin, OprD family [Acinetobacter pittii],outer membrane porin, OprD family [Acinetobacter baumannii],benzoate transporter, partial [Acinetobacter baumannii],outer membrane porin, OprD family protein, partial [Acinetobacter baumannii 15827]	1e-118,1e-117,2e-117,2e-117,4e-117,6e-117,6e-117,7e-117,1e-116,1e-116	FAD-dependent pyridine nucleotide reductase signature,Ankyrin repeat signature,P-type cation-transporting ATPase superfamily signature,Glycosyl hydrolase family 39 signature	FADPNR,ANKYRIN,CATATPASE,GLHYDRLASE39	membrane protein / transporter	part of major facilitator  family (transport), made of many transmembrane alpha helices. Benzoate transporter (blast), uses nucleotide cofactor(prints), outer membrance beta barrel (pfam)	GO:0005215
ABO11191	GGDEF domain profile	3	PS50887	Diguanylate cyclase	PF00990.20	Nucleotide cyclase superfamily	CL0276	1.1e-44	GGDEF domain-containing protein [Acinetobacter baumannii],sensor domain-containing diguanylate cyclase [Acinetobacter baumannii],sensor domain-containing diguanylate cyclase [Acinetobacter baumannii],sensor domain-containing diguanylate cyclase [Acinetobacter calcoaceticus],GGDEF domain-containing protein [Acinetobacter baumannii],GGDEF domain-containing protein [Acinetobacter baumannii],GGDEF domain-containing protein [Acinetobacter baumannii],GGDEF domain-containing protein [Acinetobacter baumannii],MULTISPECIES: GGDEF domain-containing protein [Acinetobacter calcoaceticus/baumannii complex],GGDEF domain-containing protein [Acinetobacter baumannii]	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	FAD-dependent pyridine nucleotide reductase signature,RNA (C5-cytosine) methyltransferase signature,Phytochrome signature,Bacterial sensor protein C-terminal signature	FADPNR,RCMTFAMILY,PHYTOCHROME,BCTRLSENSOR	cyclase	cyclase (pfam), GGDEF domain (blast) is part of cyclase. Used in protein ligand interactions and regulatory pathways	GO:0004872
ABO11192	Protein prenyltransferases alpha subunit repeat profile	2	PS51147	NADH-ubiquinone/plastoquinone oxidoreductase	PF00507.18	noresult	noresult	3e-25	MULTISPECIES: NADH-quinone oxidoreductase subunit A [Acinetobacter calcoaceticus/baumannii complex],NADH-quinone oxidoreductase subunit A [Acinetobacter baumannii],NADH-quinone oxidoreductase subunit A [Acinetobacter baumannii],NADH dehydrogenase I chain A [Acinetobacter baumannii MDR-ZJ06],NADH-quinone oxidoreductase subunit A [Acinetobacter baumannii],NADH-quinone oxidoreductase subunit A [Acinetobacter baumannii],NADH-quinone oxidoreductase subunit A [Acinetobacter baumannii],NADH-quinone oxidoreductase subunit A [Acinetobacter baumannii],NADH-quinone oxidoreductase subunit A [Acinetobacter baumannii],NADH-quinone oxidoreductase subunit A [Acinetobacter baumannii]	3e-128,5e-128,6e-128,1e-127,1e-127,2e-127,2e-127,2e-127,2e-127,6e-127	Na+/H+ exchanger signature,Rhodopsin-like GPCR superfamily signature	NAHEXCHNGR,GPCRRHODOPSN	oxidoreductase	oxidoreductase (blast/pfam), electron exchanger (print) It transfers electrons from one molecule to another, NADH to other molecules (pfam)	GO:0016491
ABO11118	NHL repeat profile	2	PS51125	noresult	noresult	noresult	noresult	noresult	protein tyrosine phosphatase [Acinetobacter baumannii ATCC 17978],Uncharacterised protein [Shigella sonnei],hypothetical protein A9G14_07115 [Gilliamella apicola],Uncharacterised protein [Shigella sonnei],hypothetical protein [Stenotrophomonas maltophilia],hypothetical protein A2W25_10135 [candidate division Zixibacteria bacterium RBG_16_53_22],hypothetical protein VK66_09140 [Stenotrophomonas maltophilia],hypothetical protein L681_04500 [Stenotrophomonas maltophilia MF89],hypothetical protein VN11_00125 [Stenotrophomonas maltophilia],hypothetical protein A9K69_10905 [Stenotrophomonas maltophilia]	4e-114,2e-106,7e-106,9e-93,4e-04,0.001,0.004,0.11,0.14,0.24	P450 superfamily signature,B-class P450 signature,E-class P450 group I signature,Rhodopsin-like GPCR superfamily signature	P450,BP450,EP450I,GPCRRHODOPSN	phosphatase	Involved in protein protein interactions. Phosphotase(blast) cuts at tyrosine,NHL repeat profile (common in bacteria /places of cleavage/ prosite). 	GO:0016791
ABO11958	Sirtuin catalytic domain profile	3	PS50305	Sir2 family	PF02146.16	DHS-like NAD/FAD-binding domain	CL0085	1.4e-45	NAD-dependent deacylase [Acinetobacter baumannii],NAD-dependent deacylase [Acinetobacter baumannii],NAD-dependent deacetylase [Acinetobacter baumannii],NAD-dependent deacetylase [Acinetobacter baumannii],NAD-dependent protein deacylase [Acinetobacter baumannii],NAD-dependent deacylase [Acinetobacter baumannii],hypothetical protein [Acinetobacter baumannii],NAD-dependent deacetylase [Acinetobacter baumannii],NAD-dependent protein deacylase [Acinetobacter baumannii],NAD-dependent protein deacylase [Acinetobacter baumannii]	3e-174,2e-173,4e-173,2e-172,3e-172,3e-172,5e-172,6e-172,1e-171,2e-171	FAD-dependent pyridine nucleotide reductase signature,Ankyrin repeat signature,Aromatic-ring hydroxylase (flavoprotein monooxygenase) signature,Transcription factor NF-KB signature	FADPNR,ANKYRIN,RNGMNOXGNASE,NFKBTNSCPFCT	deacetylase	deacetylase(blast) from sir2 family (pfam) involved in transcriptional silencing. Use nucleotide cofactors (prints)	GO:0017640
ABO11206	NHL repeat profile	2	PS51125	noresult	PF00313.21	OB fold	CL0021	6.1e-12	cold-shock protein [Acinetobacter baumannii],cold-shock protein [Acinetobacter calcoaceticus],cold-shock protein [Acinetobacter baumannii],cold-shock protein [Acinetobacter baumannii],cold-shock protein [Acinetobacter baumannii],cold-shock protein, partial [Acinetobacter baumannii],cold-shock protein [Acinetobacter baumannii],cold-shock protein [Acinetobacter baumannii],cold-shock protein [Acinetobacter baumannii],cold-shock protein [Acinetobacter baumannii]	3e-64,3e-64,6e-64,8e-64,8e-64,9e-64,1e-63,1e-63,1e-63,1e-63	Cold shock protein signature,C2HC-type zinc-finger signature,Subtilisin serine protease family (S8) signature,Endopeptidase La (Lon) serine protease (S16) signature,G protein beta WD-40 repeat signature	COLDSHOCK,C2HCZNFINGER,SUBTILISIN,ENDOLAPTASE,GPROTEINBRPT	cold shock protein	Help cell survive in cold temperatures, slows cell growth etc (blast/prints)	GO:0006950
ABO11207	Protein prenyltransferases alpha subunit repeat profile	2	PS51147	Excalibur calcium-binding domain	PF05901.10	noresult	noresult	1.6e-09	putative cold shock protein [Acinetobacter baumannii],calcium-binding protein [Acinetobacter baumannii],hypothetical protein ABAYE3045 [Acinetobacter baumannii AYE],hypothetical protein F919_02887 [Acinetobacter baumannii NIPH 329],calcium-binding protein [Acinetobacter baumannii],hypothetical protein [Acinetobacter baumannii],calcium-binding protein [Acinetobacter baumannii],calcium-binding protein [Acinetobacter baumannii],hypothetical protein [Acinetobacter baumannii],calcium-binding protein [Acinetobacter baumannii]	5e-82,1e-81,2e-81,2e-81,2e-81,6e-81,6e-81,6e-81,1e-80,1e-80	FAD-dependent pyridine nucleotide reductase signature,Cytosol aminopeptidase signature,Sodium/potassium-transporting ATPase signature,P-type cation-transporting ATPase superfamily signature,NUDIX hydrolase family signature	FADPNR,LAMNOPPTDASE,NAKATPASE,CATATPASE,NUDIXFAMILY	calcium binding protein	Calcium binding protein (blast/pfam). Binds extracellular calcium	GO:0004872
ABO11111	noresult	0	noresult	noresult	noresult	noresult	noresult	noresult	phage integrase family protein [Acinetobacter baumannii ATCC 17978],Uncharacterised protein [Enterobacter cloacae]	3e-19,5e-08	noresult	noresult	integrase	Mediates DNA recombination.  phage integrase (blast)	GO:0016874
ABO11115	LDL-receptor class B (LDLRB) repeat profile	2	PS51120	TrbL/VirB6 plasmid conjugal transfer protein	PF04610.13	noresult	noresult	1.7e-39	conjugal transfer protein TrbL [Acinetobacter baumannii MSP4-16],P-type conjugative transfer protein TrbL [Acinetobacter baumannii OIFC074],P-type conjugative transfer protein TrbL [Shigella dysenteriae 1617],MULTISPECIES: P-type conjugative transfer protein TrbL [Proteobacteria],P-type conjugative transfer protein TrbL [Gallibacterium anatis],P-type conjugative transfer protein TrbL [Acinetobacter pittii],P-type conjugative transfer protein TrbL [Gallibacterium anatis],P-type conjugative transfer protein TrbL [Acinetobacter pittii],P-type conjugative transfer protein TrbL [Gallibacterium anatis],conjugal transfer protein TrbL [Acinetobacter baumannii]	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	noresult	noresult	conjugal transfer protein	conjugal transfer protein, mediates transfer of DNA (blast/pfam)	GO:0000150
ABO11117	Casein kinase II phosphorylation site,N-myristoylation site	1	PS00006,PS00008	Sodium Bile acid symporter family	PF01758.15	CPA/AT transporter superfamily	CL0064	3.4e-27	Bile acid:sodium symporter [Acinetobacter baumannii ATCC 17978],membrane bound arsenic efflux pump, partial [uncultured bacterium],membrane bound arsenic efflux pump, partial [uncultured bacterium],arsenical-resistance protein [Acinetobacter baumannii ATCC 19606 = CIP 70.34 = JCM 6841],arsenical-resistance protein [Shigella flexneri 2930-71],arsenical-resistance protein [Shigella dysenteriae 1617],arsenical-resistance protein [Shigella flexneri],MULTISPECIES: arsenical-resistance protein [Proteobacteria],arsenical-resistance protein [Gallibacterium anatis],arsenical-resistance protein [Gilliamella apicola]	1e-115,3e-114,6e-114,2e-113,7e-113,1e-112,1e-112,2e-112,2e-112,2e-112	noresult	noresult	symporter	Symporter (prosite/blast/pfam), transports sodium	GO:0005215
ABO13302	N-glycosylation site,Protein kinase C phosphorylation site,Casein kinase II phosphorylation site,N-myristoylation site	1	PS00001,PS00005,PS00006,PS00008	Glycosyltransferase sugar-binding region containing DXD motif   	PF04488.14	Glycosyl transferase clan GT-A	CL0110	7.9e-11	hypothetical protein A1S_2896 [Acinetobacter baumannii ATCC 17978],glycosyl transferase [Acinetobacter baumannii],GtrOC9 [Acinetobacter baumannii],hypothetical protein [Acinetobacter baumannii],glycosyl transferase [Acinetobacter baumannii],glycosyl transferase [Acinetobacter pittii],hypothetical protein, partial [Acinetobacter baumannii],hypothetical protein [Acinetobacter nosocomialis],glycosyl transferase [Acinetobacter nosocomialis],glycosyl transferase, partial [Acinetobacter dijkshoorniae]	2e-173,1e-172,2e-172,2e-172,4e-171,2e-168,8e-148,1e-144,2e-144,4e-140	FAD-dependent pyridine nucleotide reductase signature,Beta haemoglobin signature ,Ankyrin repeat signature,Sirohaem Fe-binding site signature,Oestrogen receptor signature,Pyridine nucleotide disulphide reductase class-I signature	FADPNR,BETAHAEM,ANKYRIN,SIROHAEM,OESTROGENR,PNDRDTASEI	transferase	forms glysodic linkages to form glycoside.Glycosyltransferase(pfam/prosite/blast), uses nucleotide cofactor(prints)	GO:0016740
ABO12287	N-glycosylation site,Protein kinase C phosphorylation site,Casein kinase II phosphorylation site,N-myristoylation site	1	PS00001,PS00005,PS00006,PS00008	Ring hydroxylating alpha subunit 	PF00848.18	Bet V 1 like	CL0209	2.2e-18	putative aromatic-ring-hydroxylating dioxygenase large subunit [Acinetobacter baumannii AYE],rieske [2Fe-2S] domain protein [Acinetobacter baumannii ATCC ,hypothetical protein [Acinetobacter baumannii],hypothetical protein [Acinetobacter baumannii],hypothetical protein [Acinetobacter baumannii],hypothetical protein [Acinetobacter baumannii],rieske [2Fe-2S] domain protein [Acinetobacter baumannii 6014059],rieske [2Fe-2S] domain protein [Acinetobacter calcoaceticus RUH2202],hypothetical protein [Acinetobacter calcoaceticus],hypothetical protein [Acinetobacter baumannii]	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	Ring hydroxylating dioxygenase alpha-subunit signature,Protein tyrosine phosphatase signature,FAD-dependent pyridine nucleotide reductase signature,Phosphoglycerate kinase family signature,70kDa heat shock protein signature	RNGDIOXGNASE,PRTYPHPHTASE,FADPNR,PHGLYCKINASE,HEATSHOCK70	hydroxylating dioxygenase	alpha subunit of ring hydroxylating dioxygenase. (prints/blast/pfam)	GO:0016491
ABO12286	N-glycosylation site,Casein kinase II phosphorylation site	1	PS00001,PS00006	Ring hydroxylating beta subunit	PF00866.17	NTF2-like superfamily	CL0051	5.5e-09	Aromatic-ring-hydroxylating dioxygenase beta subunit [Acinetobacter baumannii ATCC 17978],MULTISPECIES: aromatic-ring-hydroxylating dioxygenase subunit beta [Acinetobacter calcoaceticus/baumannii complex],aromatic-ring-hydroxylating dioxygenase subunit beta [Acinetobacter nosocomialis],aromatic-ring-hydroxylating dioxygenase [Acinetobacter baumannii],aromatic-ring-hydroxylating dioxygenase subunit beta [Acinetobacter baumannii],MULTISPECIES: aromatic-ring-hydroxylating dioxygenase subunit beta [Acinetobacter calcoaceticus/baumannii complex],aromatic-ring-hydroxylating dioxygenase [Acinetobacter baumannii],aromatic-ring-hydroxylating dioxygenase subunit beta [Acinetobacter baumannii],aromatic-ring-hydroxylating dioxygenase [Acinetobacter baumannii],MULTISPECIES: aromatic-ring-hydroxylating dioxygenase subunit beta [Acinetobacter calcoaceticus/baumannii complex]	3e-62,4e-55,5e-55,5e-55,5e-55,5e-55,5e-55,5e-55,6e-55,7e-55	Prokaryotic DNA topoisomerase I signature	PRTPISMRASEI	hydroxylating dioxygenase	beta subunit of ring hydroxylating dioxygenase. (prints/blast/pfam)	GO:0016491
ABO13672	Amino acid permeases signature	3	PS00218	Amino acid permease	PF00324.20	APC superfamily	CL0062	2.3e-104	gamma-aminobutyrate transporter [Acinetobacter baumannii],gamma-aminobutyrate transporter [Acinetobacter baumannii],GABA permease [Acinetobacter baumannii],gamma-aminobutyrate transporter [Acinetobacter baumannii],GABA permease [Acinetobacter baumannii],GABA permease [Acinetobacter baumannii],gamma-aminobutyrate transporter [Acinetobacter baumannii],gamma-aminobutyrate transporter [Acinetobacter baumannii],gamma-aminobutyrate transporter [Acinetobacter baumannii],GABA permease [Acinetobacter baumannii]	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	noresult	noresult	permease	amino acid permease / GABA permease. (pfam/blast) catalyzes translocation of molecules across plasma membrane	GO:0043190
ABO11563	Protein kinase C phosphorylation site,Casein kinase II phosphorylation site,Tyrosine kinase phosphorylation site,N-myristoylation site	1	PS00005,PS00006,PS00007,PS00008	NAD	PF13450.5	FAD/NAD(P)-binding Rossmann fold Superfamily	CL0063	3.1e-11	putative flavin-binding monooxygenase [Acinetobacter baumannii ATCC 17978],cyclohexanone monooxygenase, partial [Acinetobacter baumannii],pyridine nucleotide-disulfide oxidoreductase family protein, partial [Acinetobacter baumannii 118362],cyclohexanone monooxygenase, partial [Acinetobacter baumannii],cyclohexanone monooxygenase, partial [Acinetobacter baumannii],pyridine nucleotide-disulfide oxidoreductase family protein, partial [Acinetobacter baumannii 855125],pyridine nucleotide-disulfide oxidoreductase family protein, partial [Acinetobacter baumannii 1096934],cyclohexanone monooxygenase, partial [Acinetobacter baumannii],pyridine nucleotide-disulfide oxidoreductase, partial [Acinetobacter baumannii UH5107],Cyclohexanone monooxygenase [Acinetobacter baumannii]	2e-117,1e-115,1e-115,2e-115,2e-115,2e-115,2e-115,1e-114,2e-114,8e-114	FAD-dependent pyridine nucleotide reductase signature,Flavin-containing monooxygenase (FMO) signature,Pyridine nucleotide disulphide reductase class-II signature,Flavin-containing monooxygenase (FMO) 1 signature,Flavin-containing amine oxidase signature,Flavin-containing monooxygenase (FMO) 2 signature,Flavin-containing monooxygenase (FMO) 5 signature,Adrenodoxin reductase family signature,Pyridine nucleotide disulphide reductase class-I signature,Flavin-containing monooxygenase (FMO) 3 signature	FADPNR,FMOXYGENASE,PNDRDTASEII,FMOXYGENASE1,AMINEOXDASEF,FMOXYGENASE2,FMOXYGENASE5,ADXRDTASE,PNDRDTASEI,FMOXYGENASE3	nucleotide dependent reductase	Nucleotide dependent reductase (uses nucelotide cofactors such as NAD). (Blast/pfam/prints)	GO:0000166
ABO11565	Prokaryotic membrane lipoprotein lipid attachment site profile	2	PS51257	Permease family	PF00860.19	APC superfamily	CL0062	5.4e-10	permease domain protein, partial [Acinetobacter baumannii UH9007],putative adenine permease PurP [Acinetobacter baumannii],putative transporter [Acinetobacter baumannii ATCC 17978],permease family protein [Acinetobacter baumannii 929679-2095],hypothetical protein KAB08_01268 [Acinetobacter baumannii],NCS2 family permease, partial [Acinetobacter gyllenbergii],permease family protein [Acinetobacter baumannii 25878_3],NCS2 family permease [Acinetobacter baumannii],NCS2 family permease [Acinetobacter nosocomialis],NCS2 family permease [Acinetobacter baumannii]	1e-53,2e-53,4e-53,1e-52,2e-52,1e-51,5e-51,6e-51,7e-51,7e-51	Rhodopsin-like GPCR superfamily signature,Glycoprotein hormone receptor signature ,Follicle stimulating hormone receptor precursor signature ,Thyrotropin receptor precursor signature 	GPCRRHODOPSN,GLYCHORMONER,FSHRECEPTOR,TSHRECEPTOR	permease	Involved in lipid attachment (prosite) through cleavage (blast/pfam)	GO:0043190
ABO11564	Cell wall-binding repeat profile	2	PS51170	noresult	noresult	noresult	noresult	noresult	putative flavin-binding monooxygenase [Acinetobacter baumannii ATCC 17978],cyclohexanone monooxygenase [Acinetobacter baumannii],cyclohexanone monooxygenase [Acinetobacter baumannii],cyclohexanone monooxygenase [Acinetobacter baumannii],hypothetical protein [Acinetobacter baumannii],cyclohexanone monooxygenase [Acinetobacter baumannii],cyclohexanone monooxygenase [Acinetobacter baumannii],cyclohexanone monooxygenase [Acinetobacter baumannii],cyclohexanone monooxygenase [Acinetobacter baumannii],cyclohexanone monooxygenase [Acinetobacter baumannii]	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	FAD-dependent pyridine nucleotide reductase signature,Flavin-containing monooxygenase (FMO) signature,Flavin-containing monooxygenase (FMO) 1 signature,Flavin-containing monooxygenase (FMO) 5 signature	FADPNR,FMOXYGENASE,FMOXYGENASE1,FMOXYGENASE5	monooxygenase	Monooxygenase involved in creating products for protein folding (pfam/blast)	GO:0016491
ABO13675	Protein kinase C phosphorylation site,Casein kinase II phosphorylation site,N-myristoylation site	1	PS00005,PS00006,PS00008	Branched-chain amino acid transport protein 	PF05437.11	noresult	noresult	5.5e-12	AzlD domain-containing protein [Acinetobacter baumannii],AzlD domain-containing protein [Acinetobacter baumannii],AzlD domain-containing protein [Acinetobacter baumannii],AzlD domain-containing protein [Acinetobacter baumannii],AzlD domain-containing protein [Acinetobacter baumannii],AzlD domain-containing protein [Acinetobacter baumannii],AzlD domain-containing protein [Acinetobacter baumannii],AzlD domain-containing protein [Acinetobacter baumannii],AzlD domain-containing protein [Acinetobacter baumannii],AzlD domain-containing protein [Acinetobacter baumannii]	3e-67,7e-67,7e-67,1e-66,1e-66,1e-66,1e-66,1e-66,1e-66,1e-66	Ankyrin repeat signature	ANKYRIN	transporter	amino acid transport protein (pfam) AZID domain containing (blast)	GO:0005215
ABO11566	Protein kinase C phosphorylation site,Casein kinase II phosphorylation site,N-myristoylation site	1	PS00005,PS00006,PS00008	Permease family	PF00860.19	APC superfamily	CL0062	4.7e-26	putative transporter [Acinetobacter baumannii ATCC 17978],permease family protein, partial [Acinetobacter baumannii UH9007],Putative permease YicO [Acinetobacter baumannii],NCS2 family permease [Acinetobacter baumannii],NCS2 family permease [Acinetobacter baumannii],NCS2 family permease [Acinetobacter baumannii],NCS2 family permease [Acinetobacter baumannii],NCS2 family permease [Acinetobacter baumannii],NCS2 family permease [Acinetobacter baumannii],NCS2 family permease [Acinetobacter baumannii]	2e-148,4e-148,1e-147,2e-146,2e-146,2e-146,3e-146,3e-146,3e-146,3e-146	Na+/HCO3- co-transporter signature,HCO3- transporter superfamily signature,Rhodopsin-like GPCR superfamily signature,FAD-dependent pyridine nucleotide reductase signature	NAHCO3TRSPRT,HCO3TRNSPORT,GPCRRHODOPSN,FADPNR	transporter	sodium(prints) transporter(blast/print)	GO:0005215
ABO11181	Protein kinase C phosphorylation site,Casein kinase II phosphorylation site	1	PS00005,PS00006	Darcynin	PF17074.4	noresult	noresult	2.9e-13	darcynin 1 [Acinetobacter baumannii NIPH 70],Darcynin 1 [Acinetobacter baumannii],hypothetical protein [Acinetobacter baumannii],Darcynin 1 [Acinetobacter pittii],Darcynin 1 [Acinetobacter baumannii],darcynin [Acinetobacter baumannii],darcynin [Acinetobacter baumannii],darcynin [Acinetobacter baumannii],Darcynin 1 [Acinetobacter pittii],darcynin [Acinetobacter calcoaceticus]	2e-57,1e-56,2e-56,3e-56,4e-56,4e-56,5e-56,5e-56,7e-56,7e-56	noresult	noresult	darcynin	Unknown function, hits from (pfam/blast/prints)	GO:0016301
ABO11185	EF-hand calcium-binding domain	3	PS00018	noresult	noresult	noresult	noresult	noresult	hypothetical protein A1S_0745 [Acinetobacter baumannii ATCC 17978],hypothetical protein [Acinetobacter baumannii],hypothetical protein [Acinetobacter baumannii],hypothetical protein [Acinetobacter baumannii],hypothetical protein [Acinetobacter baumannii],hypothetical protein [Acinetobacter baumannii],hypothetical protein [Acinetobacter baumannii],hypothetical protein [Acinetobacter baumannii],hypothetical protein [Acinetobacter baumannii],hypothetical protein [Acinetobacter baumannii]	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	noresult	noresult	calcium binding domain	EF calcium binding domain (pfam) commonly used in signaling pathways	GO:0098796
ABO11212	N-glycosylation site,Protein kinase C phosphorylation site,Casein kinase II phosphorylation site,N-myristoylation site,Amidation site	1	PS00001,PS00005,PS00006,PS00008,PS00009	HI0933-like protein	PF03486.13	FAD/NAD(P)-binding Rossmann fold Superfamily	CL0063	7.6e-141	aminoacetone oxidase family FAD-binding enzyme [Acinetobacter baumannii],membrane protein [Acinetobacter baumannii],aminoacetone oxidase family FAD-binding enzyme [Acinetobacter baumannii],aminoacetone oxidase family FAD-binding enzyme [Acinetobacter baumannii],aminoacetone oxidase family FAD-binding enzyme [Acinetobacter baumannii],aminoacetone oxidase family FAD-binding enzyme [Acinetobacter baumannii],aminoacetone oxidase family FAD-binding enzyme [Acinetobacter baumannii],aminoacetone oxidase family FAD-binding enzyme [Acinetobacter baumannii],aminoacetone oxidase family FAD-binding enzyme [Acinetobacter baumannii],aminoacetone oxidase family FAD-binding enzyme [Acinetobacter baumannii]	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	FAD-dependent pyridine nucleotide reductase signature,RNA (C5-cytosine) methyltransferase signature	FADPNR,RCMTFAMILY	nucleotide binding protein	aminoacetone reductase (blast), uses nucleotide cofactors in protein folding (prints/pfam)	GO:0000166
